Expectations,Keywords
Teamwork and collaboration!,groupwork soft
,
I want to learn more about Java in software engineering.,java se
,
nil,
,
Nil,
NIL,
"I expect to learn how to use Git effectively and also at the same time, how to work and manage a software engineering project well",git workflow
-,
"How software is built from start to finish + general flow of building a software How to write clean, readable and CORRECT code... Exposure to common tools used in industry How to work in teams ( + proper way to use git & github) General good coding practices and habits",se workflow code industry groupwork git
NIL,
,
,
,
Nil.,
,
Learn about SWE practices,se
Git usage and understand what software engineering is like,git se
,
SWE skills that are used in the real world.,industry se
Github as I have no much experience using it.,git
Learn more advanced git features.,git
,
"Using Java as the main language to create an industrial standard project.  Master the skills of project management, including the use of Git.",java industry workflow git
,
,
,
,
,
,
,
,
,
,
,
,
Git  Proper Software Practices,git code se
Utilizing the Git system.,git
,
"I really want to learn how I can make sure my programs are correct (almost like proving that its right). Right now my development workflow is more akin to test driven development, I write tests, I code, I check if it passes the tests and I repeat. It feels as if I am writing patches on top of my code to fit that specific test case. I know that's not right. And I want to change the way I code to move away from this direction of coding. Mostly because as my projects get more serious, this patching method doesn't seem particularly appealing because now I need to prove to other people that my program is correct especially when the program is so complex that is can't fit in any humans working memory. For instance, I am currently working on this programming language compiler: github.com/kavishsathia/star, and I feel like I am just writing patches on top of patches to make the compiler work. I want to learn the right way to code, and I hope this course can help me with that!",testing workflow code design large
,
,
"I hope to learn the confidence to handle large codebases... currently, when I download a GitHub repo and discover that it's a mess, my first instinct is to leave my workstation for the rest of the day.",large
* Project management skills specific to software engineering  * How to structure a project using GitHub  * Better understand the level of effort required for larger scale projects,workflow git large se
-,
,
"Working with teammates, delivering quality code, common SWE practices such as CI/CD.",groupwork code devops
,
How to make working software from scratch,se
,
,
,
,
Through this course I expect to learn about software design principles that allow me to improve my teamwork skill.,design groupwork soft
,
,
"Using Git, learning how to write effective documentation",git documentation
,
,
,
1. Knowledge about git  2. Testing (eg. unit test)  ... ...,git testing
"Hopefully Rust but since it's Java I know it's not happening. Otherwise anything about optimizing performance-critical systems, concurrency, multithreading, and network stuff.",java performance network
,
-,
,
"Writing clean, readable and modular code  very good feature outlines and descriptions   advanced usage of git and github   collaborating as a team effectively while using GitHub   thinking in terms of systems and not just low level logic",code documentation git groupwork design workflow
N.A.,unsure
,
,
,
,
,
"Software Engineering Lifecycle, Development Methodologies, Git/GitHub and possibly testing.",workflow git testing se
,
,
,
Strong fundamentals of Software Engineering which can allow me to branch to certain relation or perhaps more specific topics of software engineering and also helping me to secure a better internship in the future,se internships
,
,
"I want to learn more about cloud computing tools (AWS, Microsoft Azure...)",backend
,
,
-,
,
,
-,
,
,
,
Good software enegineering principles  How to make good software for users  How to push projects (self or school) online onto platforms such as github for my own use or showcase  Some UI principles to follow when making software,se ui git
nil,
API design.,design
,
,
,
Testing methodology,testing
"I want to learn SE principles and maybe defensive programming, how to use git proficiently and UML",se security git uml
,
"Scrum workflows, confluence, jira, github and git power user, basically software project management etc stuff",workflow git documentation groupwork
no,unsure
CI/CD (Github Actions),devops git
,
,
,
Just good practices for software engineering.,se code
Just general skills that will assist me in taking up internships,internships
,
git and gui design,git ui
nil,
Modern SWE Team Practices,workflow groupwork se
nil,
,
software engineering,se
"Anything and everything, looking to just dig into whatever I can learn!",interest
nil,
NA,
,
,
I hope to learn more about web interface programming or related topics,web ui
,
,
,
NIL,
,
,
,
,
"To be honest, I always struggled with coding since CS2030S and CS2040S. However, after i re-modded CS2030S, i found a bit more joy coding java out and passing the test case. I really hope to be able to learn how to make something like a website or application because I haven't been able to personally experience how a code can translate into the digital things that we use frequently. I did not do orbital also so I did not get a chance to experience that.",code cs2030 dsa java web desktop orbital
,
,
,
nil,
Use Git better,git
,
-,
Learning modern tech stacks,frameworks
Good SWE practices,se code
How to document user and server guide and use Git and GitHub for collaboration,documentation git groupwork
Nil,
-,
Nil,
"React, using cloud computing services",frameworks web backend
NIL,
,
,
,
Using AI in software dev,ai
N/A,
"Git, CI/CD",git devops
nil,
I want to learn what code reviews are about.,code workflow
,
,
Nil,
Nil,
Hosting backend servers using tools like AWS or other tools that a normal person who have to pay,backend devops
NA,
How to use git terminal professionally,git
,
,
Learning to write clean readable code that is scalable.,code performance
,
interview prep,internships
,
NIL,
* Steps to take when developing a program (eg. workflow / planning etc)  * Proficiency in Git / CI / CD  * Learning new libraries or frameworks,workflow git devops frameworks
,
"Learning what does the role ""software engineer"" really do",se industry
,
"Develop projects that will be useful for portfolio and internships, maybe gain more insights whether i want to pursue SE in the future.",internships interest se
nil,
,
Git and how to properly maintain code. And learn more about CI/CD pipelines,git code devops
Writing Unit Test effectively,testing
how to work better in big groups for a single project,groupwork soft
How to be a better software engineer; common practices,se industry
,
,
,
,
,
"SWE terminology, practices etc.",se
,
Nil,
git  docker  react,git docker frameworks web
,
,
,
,
,
,
,
Na,
to learn how to work in teams and understand all the necessary features when designing a system,groupwork design
,
I hope to learn the more advanced features of github as well as how to write a proper user guide that would actually attract potential users.,git documentation
-,
,
,
Just software engineering skills required in the professional world,se industry
,
,
nil,
,
,
"I hope to hone my software engineering practices and cultivate good habits with regards to submitting pull requests, etc.",se git
,
"Software Development Life Cycle, Git, CI/CD, Standard practices",workflow git devops se
,
,
,
,
,
,
Coding in a team setting of more than 2 team members. (I have not done any larger scale projects before),groupwork large
-,
,
Software engineering a project with a team.,se groupwork workflow
NIL,
,
,
"How to maintain a Github repo (in fact, what does it mean by repo health/build passing in certain Github repos?)  What template should I use when submitting issues/PRs?  How should I design a software so that other programmers can continue to build on it in the future?",git devops workflow design
,
-,
,
,
,
How to develop software and how SE function in teams.,se groupwork workflow
Git version control,git
,
,
,
design patterns,design
,
nil,
Get better at debugging,debugging
,
-,
,
,
,
"Specifically software engineering, more on github and building an application in Java.",se git java
,
Nil,
,
,
,
,
,
Na,
,
Nil,
Programming best practices and formally learning SWE concepts,code se
,
NA,
Nil,
,
Github and Git,git
"Backend programming, Java, c++/c, git, github",backend java git
Allowing me to manage my backend better,backend
NA,
,
,
Integrating AI agents into modern SE development.,ai se
,
"SWE principles, CI/CD",se devops
Improve my coding ability,code
"I want to move beyond just writing functional code and learn how to properly organize large codebases using strict Software Architecture and Design patterns.  I am also eager to master advanced Git internals, set up proper CI/CD workflows, and improve my soft skills(like communication) within a software team.",design large git devops soft groupwork
,
,
,
Git.,git
front end and backend skills and the entire pipeline that a swe build,backend web workflow
How to build softwares from ground,se design
,
,
-,
Software engineering skills,se
NA,
I hope to become more familiar with Git. I hope to build some practical projects that can really be used in real life (most importantly to expose myself to the from-design-to-deployment process).,git workflow devops industry
NIL,
Git & frontend tool & backend tool,git web backend frameworks
Nope,unsure
,
Working more efficiently with git and using proper software engineering principles in my code,git se code
,
real life internship skills or tools,internships industry
Good Software Engineering Practices,se
.,pending
